Black Body Radiation Experiment Wed, Jan 24, 2024 4:26 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00511
0.00000	0.00141
0.00000	0.00785
0.00000	0.00479
-0.01033	0.00624
-0.01033	0.00737
-0.01033	0.00350
-0.01033	0.00656
-0.01033	0.00141
-0.01033	0.00640
-0.01033	0.00028
-0.01033	0.00705
-0.01033	0.00463
-0.01033	0.00608
-0.01033	0.00576
-0.01033	0.00366
-0.01033	0.00930
-0.01033	0.00302
-0.01033	0.00302
-0.01033	-0.00004
-0.01033	0.00238
-0.01033	0.00592
-0.01033	0.00318
-0.01033	0.00463
-0.01033	0.00560
-0.01033	0.00399
-0.01033	0.00157
-0.01033	0.00511
-0.01033	0.00254
-0.01033	0.00753
-0.01033	0.00705
-0.01033	0.00221
-0.01033	0.00334
-0.01033	0.00608
-0.01033	0.00850
-0.01033	0.00753
0.00000	0.00479
0.00000	0.00495
0.00000	0.00640
0.00000	0.00270
0.00000	0.00463
0.00000	0.00753
0.00000	0.00560
0.00000	0.00495
0.00000	0.00334
0.01033	0.00560
0.01033	0.00672
0.01033	0.00125
0.01033	0.00093
0.01033	0.00334
0.01033	0.00350
0.01033	0.00544
0.01033	0.00125
0.02067	0.00189
0.03100	0.00093
0.03100	0.00640
0.03100	0.00656
0.03100	0.00286
0.03100	0.00205
0.03100	0.00495
0.03100	0.00527
0.03100	0.00640
0.04133	0.00527
0.07233	0.00302
0.11366	0.00415
0.13433	0.00495
0.18599	0.00721
0.20666	0.00753
0.20666	0.00399
0.21699	0.00399
0.21699	0.00141
0.21699	0.00302
0.21699	0.00527
0.21699	0.00592
0.21699	0.00463
0.21699	0.00286
0.21699	0.00817
0.21699	0.00270
0.21699	0.00817
0.21699	0.00157
0.21699	0.00415
0.21699	0.00318
0.23766	0.00656
0.28932	0.00205
0.34099	0.00205
0.36166	0.00399
0.45465	0.00479
0.51665	0.00672
0.53732	0.00576
0.58898	0.00479
0.59931	0.00656
0.59931	0.00511
0.60965	0.00383
0.60965	0.00624
0.60965	0.00801
0.60965	0.00141
0.60965	0.00270
0.60965	0.00334
0.61998	0.00415
0.66131	0.00173
0.70264	0.00415
0.74398	0.00463
0.82664	0.00576
0.88864	0.00431
0.91964	0.00350
0.98164	0.00576
1.02297	0.00334
1.02297	0.00527
1.03330	0.00447
1.04363	0.00334
1.05397	0.00254
1.06430	0.00141
1.11597	0.00479
1.14696	0.00399
1.17796	0.00560
1.22963	0.00769
1.26063	0.00785
1.27096	0.00189
1.32263	0.00334
1.36396	0.00656
1.38462	0.00560
1.44662	0.00109
1.49829	0.00608
1.51895	0.00383
1.59128	0.00640
1.65328	0.00093
1.66361	0.00672
1.71528	0.00125
1.73595	0.00109
1.74628	0.00560
1.77728	0.00383
1.80828	0.00753
1.81861	0.00270
1.85994	0.00366
1.91161	0.00560
1.94261	0.00511
2.02527	0.00238
2.08727	0.00737
2.10793	0.00576
2.15960	0.00350
2.20093	0.00672
2.21126	0.00753
2.26293	0.00463
