Black Body Radiation Experiment Wed, Jan 24, 2024 4:24 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00302
0.00000	0.00012
0.00000	-0.00149
0.00000	0.00254
0.00000	0.00415
0.00000	0.00383
0.00000	0.00221
0.00000	0.00076
0.00000	0.00109
0.00000	0.00044
0.00000	-0.00036
0.00000	0.00012
0.00000	0.00157
0.00000	0.00221
0.00000	0.00270
0.00000	0.00431
0.00000	0.00221
0.00000	0.00318
0.00000	0.00205
0.00000	0.00093
-0.01033	0.00205
-0.01033	0.00141
-0.01033	-0.00165
-0.02067	0.00431
-0.08266	0.00221
-0.08266	0.00157
-0.07233	0.00125
-0.08266	0.00044
-0.08266	0.00463
-0.08266	0.00238
-0.08266	0.00157
-0.08266	0.00205
-0.08266	0.00302
-0.08266	0.00350
-0.08266	0.00205
-0.08266	0.00012
-0.08266	0.00592
-0.08266	0.00189
-0.08266	0.00157
-0.08266	0.00060
-0.08266	0.00415
-0.08266	0.00495
-0.08266	-0.00036
-0.08266	0.00044
-0.08266	0.00221
-0.08266	0.00350
-0.07233	0.00399
-0.07233	0.00173
-0.07233	0.00109
-0.07233	0.00254
-0.07233	0.00366
-0.07233	0.00399
-0.07233	-0.00052
-0.07233	0.00044
-0.07233	0.00157
-0.07233	0.00270
-0.07233	0.00173
-0.07233	0.00044
-0.07233	0.00238
-0.07233	-0.00052
-0.07233	0.00479
-0.07233	0.00189
-0.07233	0.00302
-0.07233	0.00157
-0.07233	0.00270
-0.07233	0.00044
-0.07233	-0.00246
-0.07233	0.00238
-0.07233	-0.00036
-0.07233	0.00221
-0.07233	0.00141
-0.07233	0.00238
-0.07233	0.00238
-0.07233	0.00495
-0.07233	0.00383
-0.07233	0.00125
-0.07233	0.00157
-0.07233	0.00254
-0.07233	-0.00101
-0.07233	0.00350
-0.07233	-0.00004
-0.07233	-0.00214
-0.07233	0.00076
-0.07233	0.00012
-0.07233	0.00399
-0.07233	0.00076
-0.07233	0.00125
-0.07233	0.00270
-0.07233	0.00544
-0.07233	0.00447
-0.06200	0.00044
-0.04133	-0.00085
-0.04133	0.00366
-0.03100	0.00221
-0.03100	0.00254
-0.01033	-0.00117
0.01033	0.00205
0.04133	0.00383
0.05167	0.00270
0.06200	0.00205
0.06200	-0.00149
0.06200	0.00270
0.07233	0.00044
0.09300	0.00383
0.15500	0.00592
0.18599	0.00672
0.27899	0.00238
0.35132	-0.00165
0.38232	0.00463
0.43399	0.00270
0.45465	0.00286
0.45465	0.00221
0.48565	0.00157
0.49598	0.00060
0.51665	0.00254
0.52698	0.00044
0.56832	0.00576
0.58898	0.00350
0.59931	0.00270
0.65098	0.00366
0.68198	0.00028
0.70264	-0.00004
0.75431	0.00109
0.78531	0.00302
0.79564	0.00495
0.86797	0.00366
0.91964	0.00495
0.95064	0.00109
0.99197	-0.00165
1.03330	0.00093
1.05397	0.00399
1.11597	0.00044
1.17796	0.00415
1.19863	0.00044
1.26063	-0.00165
1.30196	0.00060
1.32263	-0.00069
