Black Body Radiation Experiment Wed, Jan 24, 2024 4:21 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00246
0.00000	-0.00165
0.00000	-0.00407
0.00000	-0.00375
0.00000	-0.00761
0.00000	-0.00165
0.00000	-0.00359
0.00000	0.00189
0.00000	-0.00504
0.00000	-0.00117
0.00000	-0.00085
0.00000	-0.00729
0.00000	-0.00600
0.00000	-0.00391
0.00000	-0.00165
0.00000	-0.00568
0.00000	-0.00359
0.00000	-0.00600
0.00000	-0.00278
0.00000	-0.00439
0.00000	-0.00471
0.00000	-0.00310
0.00000	-0.00439
0.00000	-0.00665
0.00000	-0.00310
0.00000	0.00093
0.00000	-0.00036
0.00000	-0.00552
0.00000	0.00221
0.00000	-0.00584
0.00000	-0.00085
0.00000	-0.00181
0.00000	-0.00616
0.00000	-0.00552
0.00000	-0.00375
0.00000	-0.00455
0.00000	-0.00165
0.00000	-0.00713
0.00000	-0.00504
0.00000	-0.00149
0.00000	-0.00214
0.00000	-0.00197
0.00000	-0.00423
0.00000	-0.00310
0.00000	-0.00117
0.00000	-0.00423
0.00000	-0.00004
0.00000	-0.00020
0.00000	-0.00197
0.00000	0.00060
0.00000	-0.00407
0.00000	-0.00069
0.01033	-0.00262
0.01033	-0.00262
0.01033	-0.00294
0.01033	-0.00004
0.01033	-0.00359
0.01033	-0.00214
0.01033	-0.00230
0.01033	-0.00310
0.01033	-0.00181
0.01033	-0.00568
0.01033	-0.00471
0.01033	-0.00326
0.01033	-0.00326
0.01033	-0.00552
0.01033	-0.00552
0.02067	-0.00342
0.02067	0.00028
0.02067	-0.00439
0.02067	-0.00020
0.02067	-0.00149
0.02067	-0.00922
0.02067	-0.00069
0.02067	-0.00552
0.02067	-0.00375
0.02067	-0.00423
0.02067	-0.00520
0.03100	-0.00616
0.03100	-0.00407
0.03100	-0.00423
0.03100	-0.00117
0.03100	-0.00375
0.03100	-0.00439
0.03100	-0.00326
0.03100	-0.00294
0.03100	0.00093
0.04133	0.00334
0.05167	-0.00214
0.06200	-0.00117
0.08266	-0.00117
0.11366	-0.00391
0.14466	-0.00375
0.18599	-0.00214
0.26866	-0.00214
0.33066	-0.00407
0.36166	-0.00342
0.45465	-0.00375
0.50632	-0.00262
0.52698	-0.00439
0.56832	-0.00294
0.59931	-0.00246
0.61998	-0.00455
0.67165	0.00076
0.71298	-0.00552
0.72331	-0.00197
0.77498	-0.00181
0.81631	-0.00423
0.83697	-0.00294
0.87831	-0.00342
0.90931	-0.00359
0.92997	-0.00391
0.99197	-0.00520
1.03330	-0.00697
1.05397	-0.00004
1.08497	-0.00455
1.11597	-0.00085
1.11597	-0.00133
1.14696	-0.00294
1.16763	-0.00197
1.19863	-0.00455
1.21930	-0.00294
1.26063	-0.00246
1.28129	0.00189
1.28129	-0.00004
1.30196	-0.00375
1.32263	-0.00504
1.34329	-0.00165
1.35362	-0.00036
1.39496	0.00076
1.43629	-0.00278
1.44662	-0.00020
1.50862	-0.00616
1.53962	-0.00600
1.56028	-0.00085
1.61195	-0.00197
1.65328	-0.00326
1.67395	-0.00375
1.75661	-0.00471
1.82894	-0.00504
1.84961	-0.00278
1.98394	-0.00407
2.10793	-0.00326
2.15960	-0.00101
2.24226	-0.00520
2.29393	-0.00584
2.30426	0.00028
2.35593	-0.00036
2.39726	-0.00197
2.41792	-0.00085
2.49026	-0.00262
2.54192	-0.00342
2.57292	-0.00326
2.64525	-0.00165
2.69692	-0.00246
2.72792	-0.00197
2.80025	-0.00407
2.84158	0.00093
2.86224	-0.00294
2.93458	-0.00504
2.98624	-0.00391
2.99657	-0.00230
3.05857	-0.00197
3.09990	-0.00085
3.12057	-0.00004
3.18257	-0.00600
3.24457	-0.00278
3.28590	-0.00616
3.36856	-0.00294
3.43056	-0.00069
3.46156	-0.00262
3.60622	-0.00310
3.75088	-0.00230
3.84388	0.00383
4.14354	-0.00133
4.35020	-0.00713
4.50519	0.00044
4.57752	-0.00004
4.58786	-0.00745
4.58786	-0.00165
4.58786	-0.00181
4.58786	-0.00117
4.59819	-0.00117
4.59819	-0.00423
4.59819	0.00205
4.59819	-0.00278
4.59819	-0.00310
4.59819	-0.00036
4.59819	-0.00391
4.59819	-0.00117
4.59819	-0.00584
4.59819	-0.00584
4.59819	-0.00117
4.59819	-0.00310
4.59819	0.00125
4.59819	-0.00391
4.59819	-0.00375
4.59819	-0.00375
4.59819	-0.00052
4.59819	-0.00278
4.59819	-0.00085
4.59819	-0.00504
4.59819	-0.00133
4.59819	-0.00262
4.59819	-0.00036
4.59819	-0.00117
4.59819	-0.00294
4.59819	-0.00359
4.59819	-0.00391
4.59819	-0.00487
4.62919	-0.00520
4.69119	-0.00052
4.76352	-0.00520
4.80485	-0.00197
4.90818	-0.00326
5.00118	-0.00600
5.04251	-0.00471
5.14584	-0.00294
5.20784	-0.00423
5.23884	-0.00439
5.31117	-0.00020
5.36283	-0.00004
5.38350	-0.00101
5.47650	-0.00230
5.52816	-0.00036
5.55916	-0.00310
5.67282	0.00076
5.74515	-0.00069
5.78649	-0.00520
5.91048	-0.00069
5.98281	-0.00246
6.01381	-0.00310
6.09648	-0.00520
6.12748	-0.00230
6.13781	-0.00149
6.17914	-0.00020
6.22047	-0.00230
6.24114	-0.00149
6.34447	-0.00391
6.41680	-0.00197
6.44780	-0.00600
6.56146	-0.00004
6.62346	-0.00326
6.65446	-0.00391
6.75779	-0.00407
6.81979	-0.00149
6.85079	-0.00085
6.94378	-0.00487
6.98512	-0.00487
7.00578	-0.00423
7.01612	-0.00359
7.01612	-0.00165
7.01612	-0.00487
7.02645	-0.00101
7.02645	-0.00455
7.02645	0.00157
7.02645	-0.00181
7.02645	-0.00439
7.05745	-0.00536
7.08845	-0.00133
7.12978	-0.00359
7.15044	-0.00342
7.22278	-0.00181
7.25377	-0.00294
7.27444	-0.00439
7.30544	-0.00262
7.31577	0.00060
7.31577	-0.00326
7.31577	-0.00246
7.32611	-0.00810
7.32611	0.00012
7.32611	-0.00262
7.33644	-0.00165
7.35710	-0.00165
7.39844	-0.00375
7.41910	0.00076
7.48110	-0.00069
7.52243	-0.00004
7.54310	0.00012
7.56377	-0.00278
7.57410	-0.00568
7.57410	-0.00262
7.57410	-0.00310
7.59476	-0.00342
7.61543	-0.00278
7.64643	-0.00278
7.66710	-0.00181
7.72909	-0.00101
7.77043	0.00141
7.79109	-0.00101
7.89442	0.00044
7.94609	-0.00230
7.97709	-0.00342
8.04942	-0.00359
8.09075	-0.00117
8.10108	-0.00085
8.14241	-0.00294
8.17341	-0.00326
8.18375	-0.00133
8.23541	-0.00052
8.26641	-0.00004
8.28708	-0.00197
8.33874	-0.00568
8.35941	-0.00504
8.36974	-0.00214
8.42141	-0.00310
8.44207	-0.00069
8.45240	-0.00504
8.47307	-0.00310
8.48340	-0.00536
8.49374	-0.00552
8.50407	-0.00246
8.51440	-0.00101
8.52474	-0.00181
8.54540	-0.00085
8.56607	-0.00359
8.57640	-0.00439
8.59707	-0.00536
8.61773	0.00028
8.62807	0.00141
8.65906	-0.00326
8.66940	-0.00230
8.67973	0.00012
8.73140	-0.00391
8.78306	-0.00504
8.80373	-0.00584
8.85539	-0.00101
8.87606	-0.00278
8.87606	-0.00214
8.88639	-0.00036
8.89672	-0.00326
8.89672	-0.00375
8.90706	-0.00552
8.91739	0.00076
8.91739	-0.00085
8.92772	-0.00004
8.97939	-0.00439
9.03105	-0.00165
9.05172	-0.00407
9.13438	-0.00101
9.15505	-0.00230
9.15505	0.00044
9.16538	-0.00326
9.17571	-0.00214
9.19638	-0.00262
9.21705	-0.00471
9.26871	-0.00423
9.28938	-0.00697
9.31004	0.00076
9.36171	-0.00004
9.40304	-0.00375
9.42371	-0.00487
9.51670	-0.00020
9.63037	-0.00487
9.66137	-0.00101
9.75436	-0.00375
9.79570	-0.00681
9.81636	-0.00423
9.84736	0.00028
9.86803	0.00028
9.87836	-0.00504
9.90936	-0.00101
9.94036	-0.00085
9.97136	-0.00165
10.01269	-0.00214
10.04369	-0.00020
10.05402	-0.00455
10.06435	0.00093
10.06435	-0.00342
10.06435	-0.00407
10.06435	-0.00197
10.07469	-0.00294
10.07469	-0.00278
10.07469	-0.00004
10.08502	-0.00117
10.08502	-0.00197
10.09535	-0.00101
10.09535	-0.00230
10.10569	0.00125
10.11602	-0.00423
10.11602	-0.00133
10.11602	-0.00101
10.13669	-0.00342
10.14702	-0.00294
10.14702	-0.00326
10.15735	-0.00052
10.15735	-0.00391
10.17802	-0.00181
10.21935	-0.00085
10.25035	-0.00117
10.27101	-0.00359
10.29168	-0.00487
10.30201	-0.00407
10.30201	-0.00342
