Black Body Radiation Experiment Wed, Jan 24, 2024 3:57 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00552
0.00000	-0.00938
0.00000	-0.00520
0.00000	-0.00246
0.00000	-0.00536
0.00000	-0.00906
0.00000	-0.00310
0.00000	0.00205
0.00000	-0.00197
0.00000	-0.00536
0.00000	-0.00439
0.00000	-0.01100
0.00000	-0.00938
0.00000	-0.00890
0.00000	-0.00584
0.00000	-0.00262
0.00000	-0.00584
0.00000	-0.00310
0.00000	-0.00085
0.00000	-0.00584
0.00000	-0.00423
0.00000	-0.00584
0.00000	-0.00600
0.00000	-0.00858
0.00000	-0.00487
0.00000	-0.00697
0.00000	-0.00471
0.00000	-0.01132
0.00000	-0.00874
0.00000	-0.00697
0.00000	-0.00278
0.00000	-0.00407
0.00000	-0.00278
0.00000	0.00093
0.00000	-0.00326
0.00000	-0.00713
0.00000	-0.00326
0.00000	0.00173
0.00000	-0.00262
0.00000	0.00076
0.00000	-0.00230
0.00000	-0.00197
0.00000	0.00109
0.00000	-0.00133
0.00000	-0.00407
0.00000	-0.00310
0.00000	-0.00407
0.00000	-0.00552
0.00000	-0.00262
0.00000	-0.00938
0.00000	-0.00455
0.00000	-0.00359
0.00000	-0.00262
0.00000	-0.00165
0.00000	-0.00278
0.00000	-0.00407
0.00000	-0.00342
0.00000	0.00060
0.00000	-0.00552
0.00000	-0.00391
0.00000	-0.00745
0.00000	-0.00004
0.00000	-0.00665
0.00000	-0.00342
0.00000	-0.00069
0.00000	0.00157
0.00000	-0.00101
0.00000	-0.00310
0.00000	-0.00230
0.00000	-0.00069
0.00000	0.00012
0.00000	-0.00004
0.00000	-0.00085
0.00000	-0.00278
0.00000	-0.00600
0.00000	-0.00359
0.00000	-0.00197
0.00000	-0.00117
0.00000	-0.00375
0.00000	0.00060
0.00000	-0.00487
0.00000	-0.00407
0.00000	-0.00310
0.00000	-0.00197
0.00000	-0.00117
0.00000	-0.00101
0.00000	-0.00085
0.00000	0.00060
0.00000	-0.00036
0.00000	-0.00600
0.00000	-0.00133
0.00000	-0.00439
0.00000	-0.00197
0.00000	-0.00004
0.00000	-0.00085
0.00000	-0.00471
0.00000	-0.00504
0.00000	-0.00197
0.00000	0.00286
0.00000	-0.00262
0.00000	-0.00310
0.00000	-0.00455
0.00000	-0.00729
0.00000	-0.00794
0.00000	-0.00616
0.00000	-0.00810
0.00000	-0.00729
0.00000	-0.00278
0.00000	-0.00294
0.00000	-0.00842
0.00000	-0.00697
0.00000	-0.00810
0.00000	-0.00214
0.00000	-0.00504
0.00000	-0.00745
0.00000	-0.00278
0.00000	-0.00471
0.00000	-0.00955
0.00000	-0.00487
0.00000	-0.00504
0.00000	-0.00955
0.00000	-0.00665
-0.01033	-0.00584
-0.01033	-0.00504
-0.01033	-0.00165
-0.01033	-0.00342
-0.01033	-0.00777
-0.01033	-0.00810
-0.01033	-0.00745
-0.01033	-0.00584
-0.01033	-0.00649
-0.01033	-0.00520
-0.01033	-0.00342
-0.01033	-0.00230
-0.01033	-0.00326
-0.01033	0.00109
-0.01033	0.00076
-0.01033	0.00221
-0.01033	-0.00085
-0.01033	-0.00649
-0.01033	-0.00858
-0.01033	-0.00729
-0.01033	-0.00423
-0.01033	-0.00504
-0.01033	-0.00230
-0.01033	-0.00262
-0.01033	-0.00262
-0.01033	-0.00375
-0.01033	-0.00536
-0.01033	-0.00552
-0.01033	-0.00536
-0.01033	-0.00262
-0.01033	-0.00632
-0.01033	0.00012
-0.01033	-0.00391
0.00000	-0.00310
0.00000	0.00093
0.00000	0.00302
0.00000	-0.00616
0.00000	-0.00423
0.00000	-0.00471
0.00000	-0.00310
0.00000	-0.00069
0.00000	0.00302
0.00000	0.00093
0.00000	-0.00536
0.00000	-0.00906
0.00000	-0.00407
0.02067	-0.00504
0.11366	-0.00536
0.21699	-0.00520
0.24799	-0.00794
0.36166	-0.00036
0.46499	-0.00568
0.49598	0.00012
0.57865	-0.00649
0.64065	-0.00294
0.66131	-0.00729
0.73364	-0.00359
0.78531	-0.00665
0.80597	-0.00326
0.85764	-0.00649
0.85764	-0.00874
0.86797	-0.00536
0.86797	-0.00906
0.86797	-0.00052
0.86797	-0.00632
0.86797	-0.00649
0.86797	-0.00649
0.86797	-0.00552
0.86797	0.00318
0.86797	-0.00117
0.86797	-0.00117
0.86797	0.00141
0.87831	0.00060
0.90931	-0.00649
0.94030	0.00060
0.96097	-0.00407
1.06430	-0.00697
1.16763	-0.00133
1.21930	-0.00181
1.37429	-0.00471
1.51895	-0.00020
1.56028	-0.00471
1.76695	-0.00407
1.91161	-0.00632
2.01494	-0.00133
2.25260	-0.00616
2.41792	-0.00439
2.46959	-0.00262
2.68658	-0.00101
2.83125	0.00044
2.91391	-0.00713
3.08957	-0.01083
3.20323	-0.00810
3.25490	-0.00471
3.40989	-0.00971
3.49256	-0.00101
3.52356	-0.00600
3.62689	-0.00246
3.71988	0.00302
3.78188	0.00028
3.95754	-0.00085
4.12287	-0.00552
4.20554	-0.00487
4.42253	0.00060
4.58786	0.00093
4.66019	-0.00632
4.88751	0.00060
5.06318	-0.00117
5.13551	-0.00230
5.45583	-0.00391
5.62116	-0.00117
5.71416	-0.00471
6.00348	-0.00520
6.13781	-0.00600
6.19981	-0.00262
6.38580	-0.00101
6.50980	-0.00504
6.58213	0.00173
6.77846	-0.00504
6.87145	0.00028
6.95412	-0.00117
7.15044	-0.00359
7.29511	-0.00471
7.37777	-0.00455
7.60510	-0.00536
7.74976	0.00173
7.84276	0.00125
8.03908	0.00334
8.18375	-0.00230
8.25608	0.00350
8.43174	-0.00197
8.53507	-0.00294
8.62807	0.00044
8.75206	0.00463
8.82439	-0.00745
8.86572	0.00157
8.97939	-0.00181
9.06205	-0.00181
9.12405	0.00318
9.25838	-0.00036
9.39271	-0.00504
9.45471	-0.00117
9.71303	-0.00149
9.88869	0.00447
9.97136	0.00125
10.12635	-0.00359
10.20902	-0.00165
10.24002	-0.00359
10.33301	-0.00165
10.40534	-0.00520
10.43634	-0.00342
10.49834	-0.00181
10.56034	-0.00149
10.61200	0.00109
10.68433	-0.00375
10.74633	0.00318
10.76700	0.00028
10.83933	-0.00649
10.90133	-0.00020
10.92199	-0.00181
10.99433	0.00141
11.05632	-0.00262
11.08732	-0.00069
11.16999	-0.00294
11.22165	0.00109
11.24232	-0.00230
11.30432	0.00076
11.34565	-0.00165
11.35598	-0.00310
11.38698	-0.00407
11.42831	-0.00858
11.43864	0.00157
11.50064	-0.00133
11.55231	-0.00085
11.57297	-0.00133
11.65564	0.00028
11.72797	-0.00504
11.75897	-0.00310
11.84163	-0.00278
11.89330	-0.00423
11.91396	-0.00036
11.99663	-0.00004
12.04829	-0.00165
12.08962	-0.00004
12.17229	-0.00632
12.22395	0.00141
12.26529	-0.00552
12.40995	0.00125
12.52361	0.00012
12.57528	-0.00085
12.75094	-0.00036
12.89560	-0.00117
12.95760	0.00028
13.16426	-0.00214
13.31925	-0.00133
13.40192	-0.00052
13.67058	-0.00326
13.82557	-0.00471
13.89790	-0.00101
14.11489	0.00044
14.25956	-0.00777
14.31122	-0.00036
14.48688	0.00157
14.61088	-0.00052
14.66254	0.00028
14.81754	0.00141
14.93120	-0.00326
14.98287	0.00238
15.14820	0.00205
15.26186	0.00189
15.30319	0.00350
15.50985	0.00189
15.61318	-0.00342
15.67518	0.00189
15.86117	0.00495
15.98517	0.00415
16.03684	0.00093
16.21250	-0.00020
16.33649	-0.00552
16.38816	0.00012
16.56382	0.00383
16.68781	-0.00294
16.72915	0.00028
16.89448	-0.00036
17.03914	0.00383
17.11147	-0.00069
17.31813	-0.00262
17.47312	0.00576
17.54545	-0.00487
17.78311	0.00173
17.89678	0.00093
17.96911	0.00254
18.13444	0.00576
18.23777	0.00721
18.29976	0.00463
18.53742	0.00834
18.69242	0.00785
18.73375	0.00817
18.96108	0.01124
19.07474	0.01107
19.12641	0.01897
19.33307	0.02251
19.43640	0.02219
19.53973	0.02654
19.75672	0.03959
19.88072	0.03943
20.00471	0.04764
20.15971	0.05522
20.27337	0.06375
20.36637	0.07745
20.52136	0.10596
20.60403	0.11853
20.66602	0.12771
20.79002	0.16315
20.85202	0.18570
