Black Body Radiation Experiment Wed, Jan 24, 2024 4:18 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00423
0.00000	0.00044
0.00000	-0.00520
0.00000	-0.00342
0.00000	-0.00278
0.00000	-0.00777
0.00000	-0.00246
0.00000	-0.00375
0.00000	-0.00294
0.00000	-0.00858
0.00000	-0.00310
0.00000	-0.00246
0.00000	-0.00036
0.00000	-0.00552
0.00000	-0.00713
0.00000	-0.00359
0.00000	-0.00520
0.00000	-0.00052
0.00000	0.00012
0.00000	-0.00359
0.00000	-0.00326
0.00000	-0.00423
0.00000	-0.00520
0.00000	-0.00423
0.00000	-0.00230
0.00000	-0.00342
0.00000	-0.00536
0.00000	-0.00890
0.00000	-0.00230
0.00000	-0.00552
0.00000	-0.00020
0.00000	-0.00165
0.00000	-0.00407
0.00000	-0.00149
0.00000	-0.00536
0.00000	-0.00681
0.00000	-0.00536
0.00000	-0.00069
0.00000	-0.00568
0.00000	-0.00342
0.00000	-0.00504
0.00000	-0.00471
0.00000	-0.00214
0.00000	-0.00294
0.00000	-0.00359
0.00000	-0.00504
0.00000	-0.00036
0.00000	-0.00117
0.00000	-0.00600
0.00000	-0.00439
0.00000	-0.00278
0.00000	-0.00665
0.00000	-0.00342
0.00000	-0.00439
0.00000	-0.00326
0.00000	-0.00487
0.00000	-0.00487
0.00000	-0.00600
0.00000	-0.00359
0.00000	-0.00359
0.00000	-0.00375
0.00000	-0.00342
0.00000	-0.00391
0.01033	-0.00584
0.01033	-0.00504
0.02067	-0.00455
0.03100	-0.00697
0.09300	-0.00117
0.12400	-0.00536
0.13433	-0.00584
0.14466	-0.00197
0.14466	-0.00520
0.14466	-0.00262
0.14466	-0.00294
0.15500	-0.00407
0.16533	-0.00326
0.19633	-0.00230
0.21699	-0.00649
0.24799	-0.00616
0.25833	-0.00407
0.25833	-0.00471
0.25833	-0.00407
0.25833	-0.00568
0.25833	-0.00375
0.25833	-0.00504
0.27899	-0.00777
0.33066	-0.00165
0.37199	-0.00278
0.39265	-0.00600
0.42365	-0.00423
0.43399	-0.00729
0.44432	-0.00294
0.48565	-0.00729
0.50632	-0.00536
0.51665	-0.00520
0.53732	-0.00101
0.57865	-0.00407
0.59931	-0.00342
0.68198	-0.00504
0.73364	-0.00133
0.74398	-0.00826
0.79564	-0.00262
0.82664	-0.00632
0.85764	-0.00197
0.91964	-0.00359
0.96097	-0.00616
0.99197	-0.00246
1.07463	-0.00504
1.13663	-0.00391
1.16763	-0.00230
1.23996	-0.00294
1.29163	-0.00600
1.30196	-0.00375
1.35362	-0.00375
1.38462	-0.00117
1.39496	-0.00616
1.43629	-0.00117
1.46729	-0.00133
1.48795	-0.00826
1.54995	-0.00342
1.59128	-0.00278
1.60162	-0.00504
1.65328	-0.00117
1.70495	-0.00407
1.72561	-0.00262
1.82894	-0.00342
1.87028	-0.00036
1.88061	-0.00342
1.94261	-0.00294
1.98394	-0.00197
1.99427	-0.00504
1.99427	-0.00326
1.99427	-0.00745
1.99427	-0.00487
1.99427	-0.00520
1.99427	-0.00181
1.99427	-0.00407
1.99427	-0.00520
1.99427	-0.00407
1.99427	-0.00600
1.99427	-0.00375
1.99427	-0.00407
1.99427	-0.00713
1.99427	-0.00133
1.99427	-0.00342
1.99427	-0.00246
1.99427	-0.00858
1.99427	-0.00230
1.99427	-0.00246
1.99427	-0.00342
1.99427	-0.00487
1.99427	-0.00552
1.99427	-0.00439
1.99427	-0.00052
1.99427	-0.00745
1.99427	-0.00761
1.99427	-0.00407
1.99427	-0.00455
1.99427	-0.00552
1.99427	-0.00391
1.99427	-0.00471
1.99427	-0.00423
1.99427	-0.00052
1.99427	-0.00504
1.99427	-0.00455
1.99427	-0.00246
1.99427	-0.00536
1.99427	-0.00246
1.99427	-0.00085
1.99427	-0.00810
1.99427	-0.00359
1.99427	-0.00214
1.99427	-0.00020
1.99427	-0.00391
1.99427	-0.00310
1.99427	-0.00504
1.99427	-0.00165
1.99427	-0.00761
1.99427	-0.00085
1.99427	-0.00584
1.99427	-0.00407
1.99427	-0.00600
1.99427	-0.00375
1.99427	-0.00214
1.99427	-0.00487
1.99427	-0.00600
2.00460	-0.00391
2.01494	-0.00326
2.07694	0.00205
2.16993	-0.00487
2.21126	-0.00439
2.38693	-0.00681
2.50059	0.00012
2.56259	-0.00600
2.75891	-0.00181
2.85191	-0.00568
2.93458	-0.00246
3.14124	-0.00085
3.27556	-0.00471
3.35823	0.00044
3.57522	-0.00713
3.67855	-0.00423
3.77155	-0.00536
3.95754	-0.00052
4.08154	-0.00149
4.16420	0.00157
4.30887	-0.00439
4.42253	-0.00133
4.47419	-0.00455
4.64986	-0.00504
4.77385	-0.00471
4.85652	-0.00407
5.01151	-0.00842
5.12517	-0.00181
5.19751	-0.00020
5.37317	-0.00407
5.48683	-0.00149
5.53849	-0.00117
5.74515	-0.00359
5.84848	-0.00423
5.91048	-0.00504
6.05515	-0.00036
6.15848	-0.00423
6.19981	-0.00552
6.32380	-0.00777
6.42713	-0.00294
6.46847	-0.00471
6.59246	-0.00794
6.64413	0.00383
6.67513	-0.00101
6.72679	-0.00745
6.72679	-0.00938
6.73712	-0.00165
6.75779	-0.00342
6.76812	-0.00133
6.78879	-0.00568
6.86112	-0.00777
6.89212	-0.00085
6.92312	0.00076
6.98512	-0.00423
7.03678	-0.00391
7.05745	-0.00552
7.15044	-0.00101
7.22278	0.00012
7.26411	-0.00149
7.37777	-0.00342
7.45010	-0.00197
7.47077	0.00125
7.58443	-0.00181
7.64643	-0.00520
7.68776	-0.00455
7.78076	-0.00632
7.82209	0.00012
7.84276	-0.00359
7.92542	-0.00101
7.98742	0.00109
8.01842	-0.00439
8.10108	-0.00439
8.16308	-0.00439
8.18375	-0.00165
8.25608	-0.00471
8.30774	-0.00520
8.33874	-0.00052
8.41107	-0.00439
8.46274	-0.00407
8.49374	-0.00455
8.56607	-0.00359
8.60740	-0.00359
8.63840	-0.00197
8.73140	-0.00181
8.78306	-0.00520
8.81406	-0.00552
8.92772	-0.00214
9.00005	-0.00310
9.05172	-0.00504
9.21705	-0.00149
9.33071	-0.00439
9.36171	-0.00133
9.52704	-0.00375
9.63037	-0.00471
9.67170	-0.00407
9.78536	-0.00294
9.83703	-0.00375
9.85769	-0.00262
9.88869	-0.00375
9.91969	-0.00616
9.94036	-0.00487
10.04369	-0.00455
10.11602	-0.00069
10.14702	-0.00117
10.19868	-0.00165
10.21935	-0.00246
10.22968	-0.00278
10.26068	-0.00310
10.28135	-0.00310
10.29168	-0.00536
10.32268	-0.00729
10.33301	-0.00133
10.34335	-0.00036
10.36401	-0.00471
10.37434	-0.00375
10.37434	-0.00455
10.39501	-0.00455
10.41568	-0.00439
10.43634	-0.00552
10.45701	0.00012
10.56034	-0.00101
10.68433	-0.00375
10.72567	-0.00230
10.89099	-0.00165
11.01499	-0.00729
11.06666	-0.00278
11.22165	-0.00487
11.35598	-0.00568
11.38698	-0.00181
11.53164	-0.00262
11.61431	-0.00214
11.65564	-0.00552
11.78997	-0.00665
11.89330	-0.00536
11.92430	-0.00197
12.08962	-0.00632
12.19295	-0.00407
12.24462	-0.00197
12.39961	-0.00101
12.50294	-0.00294
12.55461	-0.00117
12.70961	-0.00101
12.83360	-0.00165
12.86460	0.00044
12.96793	-0.00310
13.00926	-0.00230
13.02993	-0.00052
13.05059	-0.00504
13.07126	-0.00165
13.08159	-0.00117
13.13326	-0.00359
13.17459	-0.00214
13.20559	-0.00632
13.26759	0.00141
13.31925	-0.00133
13.33992	-0.00101
13.38125	-0.00649
13.41225	-0.00278
13.42258	-0.00262
13.44325	-0.00439
13.45358	-0.00262
13.46392	0.00044
13.48458	-0.00600
13.51558	-0.00391
13.52591	-0.00326
13.57758	-0.00181
13.60858	-0.00616
13.62924	-0.00568
13.69124	-0.00520
13.73257	-0.00294
13.76357	-0.00342
13.85657	-0.00520
13.92890	-0.00665
13.97023	-0.00230
14.10456	0.00286
14.21822	0.00076
14.26989	-0.00568
14.45588	-0.00294
14.59021	-0.00504
14.65221	-0.00342
14.81754	-0.00504
14.91054	-0.00181
14.95187	-0.00294
15.07586	-0.00149
15.14820	-0.00487
15.17920	-0.00149
15.25153	0.00189
15.29286	-0.00326
15.32386	-0.00407
15.42719	-0.00036
15.54085	0.00109
15.59252	-0.00101
15.80951	0.00093
15.96450	-0.00310
16.03684	-0.00423
16.22283	0.00157
16.31583	-0.00423
16.34683	-0.00294
16.45016	-0.00455
16.52249	0.00028
16.55349	-0.00117
16.68781	-0.00101
16.77048	0.00463
16.82214	-0.00181
16.91514	0.00221
16.93581	0.00044
16.93581	-0.00052
16.96681	0.00431
16.98747	0.00044
17.00814	0.00254
17.02880	-0.00101
17.03914	-0.00117
17.05980	0.00093
17.07014	0.00254
17.08047	0.00366
17.11147	-0.00133
17.13213	-0.00230
17.14247	0.00447
17.17347	0.00527
17.20447	0.00383
17.21480	0.00415
17.28713	0.00705
17.32846	0.00415
17.35946	0.00270
17.45246	0.00221
17.50412	0.00608
17.54545	0.00689
17.64879	0.00672
17.73145	0.00560
17.75212	0.00093
17.86578	0.00286
17.90711	0.01011
17.92778	0.00221
17.97944	0.00624
18.00011	0.00834
18.01044	0.00479
18.08277	0.00817
18.14477	0.00527
18.17577	0.00785
18.26877	0.00850
18.35143	0.01011
18.38243	0.00817
18.49609	0.01397
18.54776	0.01446
18.56842	0.01236
18.60976	0.01172
18.64075	0.01800
18.66142	0.01687
18.74408	0.01816
18.78542	0.01333
18.81642	0.02010
18.86808	0.01832
18.90941	0.01865
18.95074	0.01961
19.05407	0.02267
19.10574	0.02590
19.12641	0.02573
19.19874	0.02735
19.27107	0.02590
19.30207	0.02944
19.47773	0.03363
19.56039	0.03411
19.63272	0.04039
19.71539	0.04426
19.73605	0.04619
19.75672	0.04845
19.79805	0.04925
19.81872	0.05473
19.84972	0.05296
19.92205	0.05973
19.96338	0.05811
19.97371	0.06166
20.02538	0.07052
20.04604	0.06714
20.06671	0.07132
20.13904	0.07632
20.20104	0.08051
20.22171	0.07584
20.34570	0.08727
20.40770	0.09372
20.42837	0.09275
20.52136	0.10306
20.56269	0.11063
20.59369	0.11402
20.70736	0.12900
20.77969	0.13641
20.81069	0.13673
20.94502	0.16025
21.01735	0.17507
21.04835	0.17491
21.18268	0.20955
21.25501	0.23017
21.28601	0.23307
21.38934	0.27237
21.46167	0.28671
21.49267	0.29606
21.62699	0.34004
21.67866	0.36565
21.73032	0.39529
21.84399	0.45006
21.90599	0.47342
21.99898	0.52481
22.01965	0.55188
22.04032	0.57411
22.06098	0.61132
22.06098	0.63033
22.07131	0.64403
22.09198	0.66948
22.10231	0.68011
22.10231	0.68752
22.12298	0.70428
22.12298	0.71201
22.12298	0.71652
22.12298	0.72151
22.12298	0.72409
22.12298	0.72909
22.12298	0.73118
22.12298	0.73005
22.12298	0.73360
22.12298	0.73231
22.12298	0.73923
22.12298	0.74149
22.12298	0.74149
22.12298	0.74729
22.12298	0.74230
