Black Body Radiation Experiment Wed, Jan 24, 2024 3:58 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00036
0.00000	-0.00020
0.00000	-0.00665
0.00000	-0.01100
0.00000	-0.01035
0.00000	-0.00375
0.00000	-0.00117
0.00000	-0.00375
0.00000	-0.00552
0.00000	-0.00681
0.00000	-0.01116
0.00000	-0.01116
0.00000	-0.00552
0.00000	-0.00842
0.00000	-0.01100
0.00000	-0.00085
0.00000	-0.00697
0.00000	-0.00069
0.00000	-0.00987
0.00000	-0.00181
0.00000	-0.00423
0.00000	-0.01035
0.00000	-0.00423
0.00000	-0.00375
0.00000	-0.00391
0.00000	-0.00536
0.00000	-0.00246
0.00000	-0.00471
0.00000	-0.00520
0.00000	-0.00262
0.00000	-0.00407
0.00000	-0.00004
0.00000	-0.00278
0.00000	-0.00036
0.00000	-0.00455
0.00000	-0.00439
0.00000	-0.00423
0.00000	0.00141
0.00000	-0.00632
0.00000	-0.00455
0.00000	-0.01019
0.00000	-0.00568
0.00000	-0.00922
0.00000	-0.00681
0.00000	-0.00761
0.00000	-0.00520
0.00000	-0.00471
0.00000	-0.00794
0.00000	-0.00713
0.00000	-0.01019
0.00000	-0.01051
0.00000	-0.00906
0.00000	-0.00665
0.00000	-0.01035
0.00000	-0.01132
0.00000	-0.00665
0.00000	-0.00214
0.00000	-0.00922
0.00000	-0.00326
0.00000	-0.00552
0.00000	-0.00214
0.00000	-0.00165
0.00000	-0.00230
0.00000	-0.00069
0.00000	-0.00117
0.00000	-0.00407
0.00000	-0.00214
0.00000	-0.00681
0.00000	-0.00133
0.00000	-0.00262
0.00000	-0.00552
0.00000	-0.00326
0.00000	-0.00552
0.00000	-0.00149
0.00000	-0.00455
0.00000	-0.00391
0.00000	0.00221
0.00000	-0.00439
0.00000	-0.00681
0.00000	-0.00649
0.00000	-0.00085
0.00000	-0.00745
0.00000	-0.00697
0.00000	-0.00777
0.00000	-0.00745
0.00000	-0.00616
0.00000	-0.00504
0.00000	-0.00294
0.00000	-0.00713
0.00000	-0.00181
0.00000	-0.00520
0.00000	-0.00214
0.00000	-0.00600
0.00000	-0.00455
0.00000	-0.00487
0.00000	-0.00246
0.00000	-0.00568
0.00000	-0.00552
0.00000	-0.00504
0.00000	-0.00616
0.00000	0.00173
0.00000	-0.00230
0.00000	0.00093
0.00000	-0.00407
0.00000	-0.00181
0.00000	-0.00133
0.00000	-0.00616
0.00000	-0.00536
0.00000	0.00189
0.00000	-0.00085
0.00000	-0.00391
0.00000	-0.00278
0.00000	-0.00391
0.00000	-0.00133
0.00000	-0.00471
0.00000	-0.00487
0.00000	-0.00359
0.00000	-0.00616
0.00000	-0.00504
0.00000	-0.00713
0.00000	-0.00310
0.00000	-0.00761
0.00000	-0.00987
0.00000	-0.01019
0.00000	-0.00681
0.00000	-0.00971
-0.01033	-0.00713
-0.01033	-0.00552
-0.01033	-0.00777
-0.01033	-0.00214
-0.01033	-0.00197
-0.01033	-0.00552
-0.01033	-0.00665
-0.01033	-0.00616
-0.01033	-0.00375
-0.01033	-0.00294
-0.01033	-0.00971
-0.01033	-0.00826
-0.01033	-0.00858
-0.01033	-0.00874
-0.01033	-0.00455
-0.01033	-0.00197
-0.01033	-0.00713
-0.01033	-0.00278
-0.01033	-0.00391
-0.01033	-0.00101
-0.01033	-0.00600
-0.01033	-0.00777
-0.01033	-0.00375
-0.01033	-0.00568
-0.01033	-0.01148
-0.01033	-0.01003
-0.01033	-0.00536
-0.01033	-0.00681
-0.01033	-0.01019
-0.01033	-0.00584
-0.01033	-0.00214
-0.01033	-0.00375
-0.01033	-0.00085
-0.01033	-0.00568
-0.01033	-0.00423
-0.01033	-0.01148
-0.01033	-0.00777
-0.01033	-0.00568
-0.01033	-0.01180
-0.01033	-0.00971
-0.01033	-0.00504
-0.01033	-0.00375
-0.01033	-0.00745
-0.01033	-0.00632
-0.01033	-0.00729
0.00000	-0.00423
0.00000	-0.00777
0.00000	-0.01293
0.00000	-0.00536
0.00000	-0.00504
0.00000	-0.00552
0.00000	-0.00955
0.00000	-0.01212
0.00000	-0.00971
0.00000	-0.00552
0.00000	-0.01180
0.00000	-0.00649
0.00000	-0.00487
0.00000	-0.00246
0.00000	-0.00922
0.00000	-0.00810
0.00000	-0.00536
0.00000	-0.00326
0.00000	-0.00745
0.00000	-0.00729
0.01033	-0.00407
0.03100	-0.00004
0.09300	-0.00359
0.10333	-0.00487
0.14466	-0.00810
0.16533	-0.00359
0.17566	-0.00342
0.26866	-0.00842
0.33066	-0.00278
0.36166	-0.00938
0.41332	-0.01100
0.42365	-0.00101
0.42365	-0.00391
0.43399	-0.00616
0.43399	-0.00874
0.43399	-0.00681
0.43399	-0.00536
0.43399	-0.00681
0.43399	-0.00616
0.45465	-0.00713
0.48565	-0.00826
0.51665	-0.01067
0.52698	-0.00584
0.57865	-0.00681
0.61998	-0.00326
0.63031	-0.00600
0.68198	-0.00777
0.70264	-0.00294
0.71298	-0.00584
0.75431	-0.00520
0.79564	-0.00552
0.81631	-0.00278
0.89897	-0.00294
0.92997	-0.01212
0.95064	-0.00214
1.03330	-0.00359
1.09530	-0.00117
1.12630	-0.00359
1.18830	-0.00858
1.23996	-0.00649
1.26063	-0.00681
1.32263	-0.00036
1.37429	-0.00197
1.39496	-0.00681
1.44662	-0.00375
1.47762	-0.00600
1.49829	-0.00810
1.54995	-0.00874
1.59128	-0.00504
1.61195	-0.01164
1.66361	-0.00761
1.70495	-0.00471
1.73595	-0.00794
1.82894	-0.00842
1.90127	-0.00455
1.94261	-0.00230
2.05627	-0.00375
2.09760	-0.00874
2.12860	-0.00745
2.18027	-0.00729
2.22160	-0.00359
2.23193	-0.01164
2.28360	-0.00536
2.31459	-0.00858
2.32493	-0.00020
2.36626	-0.01035
2.38693	-0.00487
2.40759	-0.00858
2.45926	-0.00568
2.51092	-0.00665
2.54192	-0.00971
2.62459	-0.01100
2.68658	-0.01116
2.71758	-0.00665
2.89324	-0.00600
2.97591	-0.01035
3.01724	-0.00262
3.16190	-0.00552
3.28590	-0.00520
3.33756	-0.00004
3.48223	-0.00246
3.57522	-0.00713
3.62689	-0.00922
3.79222	-0.00987
3.88521	-0.00391
3.93688	-0.01164
4.11254	-0.00520
4.19520	-0.00375
4.24687	-0.00455
4.35020	-0.00761
4.41220	-0.00649
4.42253	-0.00568
4.48453	-0.00391
