Black Body Radiation Experiment Wed, Jan 24, 2024 3:59 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00697
0.00000	-0.00681
0.00000	-0.01212
0.00000	-0.00777
0.00000	-0.00407
0.00000	-0.00471
0.00000	-0.00455
0.00000	-0.00504
0.00000	-0.00520
0.00000	0.00060
0.00000	-0.00439
0.00000	-0.00278
0.00000	-0.01164
0.00000	-0.00890
0.00000	-0.00197
0.00000	-0.00197
0.00000	-0.00504
0.00000	-0.01051
0.00000	-0.00713
0.00000	-0.00890
0.00000	-0.00616
0.00000	-0.01051
0.00000	-0.00616
0.00000	-0.00632
0.00000	-0.00761
0.00000	-0.00713
0.00000	-0.00938
0.00000	-0.01003
0.00000	-0.00890
0.00000	-0.00632
0.00000	-0.00568
0.00000	-0.00681
0.00000	-0.01083
0.00000	-0.00616
0.00000	-0.00858
0.00000	-0.00842
0.00000	-0.00858
0.00000	-0.00697
0.00000	-0.00761
0.00000	-0.00536
0.00000	-0.00423
0.00000	-0.00584
0.00000	-0.00777
0.00000	-0.00278
0.00000	-0.00761
0.00000	-0.00504
0.00000	-0.00681
0.00000	-0.00810
0.00000	-0.00520
0.00000	-0.00810
0.00000	-0.00487
0.00000	-0.00794
0.00000	-0.00391
0.00000	0.00028
0.00000	-0.00600
0.00000	-0.00181
0.00000	-0.00890
0.00000	-0.00713
0.00000	-0.00536
0.00000	-0.00552
0.00000	-0.01003
0.00000	-0.00439
0.00000	-0.00632
0.00000	-0.00842
0.00000	-0.00826
0.00000	-0.00810
0.00000	-0.00520
0.00000	-0.00101
0.00000	-0.00729
0.00000	-0.00665
0.00000	-0.00439
0.00000	-0.00504
0.00000	-0.00520
0.00000	0.00028
0.00000	-0.00439
0.00000	-0.00681
0.00000	-0.00552
0.00000	-0.00697
0.00000	-0.00407
0.00000	-0.00310
0.00000	-0.00342
0.00000	-0.00616
0.00000	-0.00616
0.00000	-0.00761
0.00000	-0.00439
0.00000	-0.00761
0.00000	-0.00471
0.00000	-0.00987
0.00000	-0.01277
0.00000	-0.01019
0.00000	-0.00455
0.00000	-0.00407
0.00000	-0.00439
0.00000	-0.00391
0.00000	-0.00520
0.00000	-0.00552
0.00000	-0.00423
0.00000	-0.00310
0.00000	-0.00761
0.00000	-0.00713
0.00000	-0.00584
0.00000	-0.00713
0.00000	-0.00294
0.00000	-0.00649
0.00000	-0.00665
0.00000	-0.00713
0.00000	-0.00278
0.00000	-0.00906
0.00000	-0.00858
0.00000	-0.00552
0.00000	-0.00761
0.00000	-0.00745
0.00000	-0.00745
0.00000	-0.00713
0.00000	-0.00536
0.00000	-0.00874
0.00000	-0.01212
0.00000	-0.00874
0.00000	-0.00922
0.00000	-0.01067
0.00000	-0.00810
0.00000	-0.00423
0.00000	-0.00504
0.00000	-0.00310
0.00000	-0.00359
0.00000	-0.00214
0.00000	-0.00342
0.00000	-0.00665
0.00000	-0.00568
0.00000	-0.00246
0.00000	-0.00165
0.00000	-0.00294
0.00000	-0.00085
0.00000	-0.00133
0.00000	-0.00504
0.00000	-0.00504
0.00000	-0.00423
0.00000	-0.01132
0.00000	-0.00665
0.00000	-0.00649
0.00000	-0.00342
0.00000	-0.00294
0.00000	-0.00455
0.00000	-0.00697
0.00000	-0.00487
0.01033	-0.00584
0.01033	-0.00439
0.01033	-0.00101
0.01033	-0.01390
0.01033	-0.00890
0.01033	-0.00342
0.01033	-0.00987
0.01033	-0.00890
0.01033	-0.00987
0.01033	0.00141
0.01033	-0.00230
0.01033	-0.00536
0.01033	-0.00616
0.01033	-0.00600
0.01033	-0.00632
0.01033	-0.00246
0.04133	-0.01003
0.10333	-0.00568
0.17566	-0.00326
0.19633	-0.01341
0.33066	-0.00536
0.41332	-0.00423
0.43399	-0.00391
0.47532	-0.01228
0.49598	-0.00922
0.50632	-0.00391
0.53732	-0.00665
0.56832	-0.00278
0.57865	-0.01293
0.65098	-0.00922
0.70264	-0.01341
0.71298	-0.00520
0.78531	-0.00729
0.81631	-0.00761
0.82664	-0.00520
0.87831	-0.01196
0.89897	-0.00842
0.91964	-0.01277
0.99197	-0.00520
1.05397	-0.00697
1.08497	-0.00922
1.14696	-0.00616
1.18830	-0.00890
1.20896	-0.00600
1.28129	-0.00890
1.33296	-0.00697
1.35362	-0.00729
1.43629	-0.00214
1.48795	-0.01422
1.50862	-0.00729
1.57062	-0.00938
1.58095	-0.00955
1.59128	-0.01116
1.62228	-0.01245
1.65328	-0.00842
1.68428	-0.01019
1.73595	-0.01132
1.78761	-0.00616
1.80828	-0.00906
1.87028	-0.01035
1.90127	-0.00906
1.92194	-0.00504
1.96327	-0.00568
2.00460	-0.00745
2.02527	-0.00536
2.09760	-0.01100
2.13893	-0.00874
2.14927	-0.00938
2.21126	-0.00842
2.25260	-0.00552
2.27326	-0.00745
2.34559	-0.00697
2.37659	-0.00971
2.38693	-0.00310
2.43859	-0.01325
2.46959	-0.00681
2.49026	-0.01196
2.58325	-0.00777
2.64525	-0.01019
2.66592	-0.00359
2.74858	-0.00922
2.78991	-0.00342
2.82091	-0.01277
2.87258	-0.01245
2.90358	-0.00584
2.91391	-0.00536
2.95524	-0.00632
2.99657	-0.00713
3.01724	-0.00375
3.12057	-0.00826
3.18257	-0.00745
3.20323	-0.00471
3.30656	-0.00149
3.39956	-0.00471
3.43056	-0.00938
3.55456	-0.01083
3.64755	-0.00391
3.69922	-0.00713
3.79222	-0.00761
3.83355	-0.00101
3.86455	-0.00536
3.89555	-0.00761
3.91621	-0.01067
3.93688	-0.00568
4.02987	-0.00713
4.08154	-0.00552
4.10221	-0.00423
4.13320	-0.00520
4.16420	-0.00971
4.17454	-0.00246
4.23654	-0.00536
4.29853	-0.00471
4.31920	-0.00906
4.43286	-0.00504
4.51553	-0.00584
4.54653	-0.00665
4.62919	-0.01019
4.66019	-0.01132
4.67052	-0.00777
4.71185	-0.00600
4.75319	-0.00359
4.77385	-0.00713
4.87718	-0.00568
4.97018	-0.00552
5.02184	-0.00004
5.15617	-0.00600
5.23884	-0.00439
5.29050	-0.00906
5.49716	-0.01003
5.62116	-0.00745
5.67282	-0.00342
5.86915	-0.00729
6.00348	-0.00842
6.06548	-0.00729
6.25147	-0.00085
6.37547	-0.00729
6.42713	-0.00455
6.58213	-0.01083
6.68546	-0.00262
6.73712	-0.00665
6.86112	-0.01277
6.95412	-0.00359
7.01612	-0.00471
7.14011	-0.00471
7.22278	-0.00649
7.27444	-0.01196
7.34677	-0.00745
7.40877	-0.00471
7.46043	-0.00423
7.62576	-0.00133
7.70843	-0.00971
7.74976	-0.00423
7.86342	-0.00858
7.94609	-0.00133
7.98742	-0.00439
8.09075	-0.00890
8.16308	-0.00342
8.19408	-0.00906
8.28708	-0.00520
8.32841	-0.00294
8.35941	-0.00439
8.43174	-0.00036
8.48340	-0.00632
8.50407	-0.00649
8.54540	-0.00423
8.58673	-0.00600
8.60740	-0.00552
8.71073	-0.00149
8.76239	0.00302
8.79339	-0.00101
8.84506	-0.00520
8.84506	0.00060
8.85539	-0.00181
8.88639	0.00044
8.89672	-0.00504
8.89672	-0.00632
8.89672	-0.00600
8.89672	-0.00423
8.91739	-0.00375
8.95872	-0.00407
9.01039	-0.00262
9.06205	-0.00278
9.07238	0.00044
9.11372	-0.00246
9.15505	0.00125
9.18605	-0.00117
9.32038	-0.00858
9.38238	-0.00520
9.40304	-0.00777
9.46504	-0.00101
9.50637	-0.00181
9.53737	0.00173
9.60970	-0.00278
9.63037	-0.00101
9.65103	-0.00359
9.71303	-0.00117
9.75436	-0.00359
9.77503	-0.00020
9.82669	-0.00133
9.87836	-0.00052
9.89903	0.00286
9.95069	-0.00568
9.97136	0.00431
9.98169	-0.00938
10.07469	-0.00069
10.11602	-0.00117
10.14702	-0.00101
10.20902	-0.00230
10.26068	-0.00197
10.27101	0.00028
10.33301	-0.00230
10.39501	-0.00004
10.42601	-0.00310
10.51901	-0.00149
10.57067	-0.00375
10.59134	0.00318
10.65334	-0.00052
10.69467	0.00109
10.70500	-0.00504
10.76700	-0.00197
10.83933	-0.00230
10.89099	0.00173
10.99433	0.00093
11.06666	0.00334
11.09766	0.00012
11.16999	-0.00310
11.19065	-0.00036
11.20099	0.00157
11.23198	0.00431
11.27332	0.00302
11.28365	-0.00020
11.35598	-0.00391
11.42831	0.00076
11.45931	0.00221
11.57297	0.00495
11.61431	-0.00004
11.62464	0.00366
11.68664	-0.00149
11.71764	0.00318
11.73830	-0.00230
11.81063	0.00205
11.86230	-0.00230
11.87263	0.00511
11.92430	-0.00310
11.95530	0.00431
12.00696	-0.00181
12.09996	0.00415
12.18262	0.00189
12.20329	0.00415
12.30662	-0.00455
12.36862	0.00334
12.37895	-0.00214
12.44095	-0.00520
12.50294	-0.00004
12.55461	-0.00149
12.69927	-0.00020
12.80260	-0.00181
12.84393	0.00028
12.93693	0.00302
12.96793	-0.00391
12.97826	-0.00101
13.00926	0.00238
13.04026	0.00109
13.05059	0.00431
13.13326	-0.00004
13.17459	0.00270
13.19526	0.00028
13.22626	-0.00117
13.24692	-0.00181
13.24692	-0.00471
13.25725	-0.00052
13.27792	0.00012
13.32959	0.00028
13.37092	-0.00423
13.39158	0.00415
13.46392	0.00592
13.51558	0.00221
13.53625	0.00334
13.61891	-0.00101
13.67058	-0.00004
13.69124	0.00463
13.77391	-0.00504
13.82557	-0.00085
13.87724	-0.00036
13.97023	0.00270
14.01156	0.00527
14.03223	0.00205
14.09423	-0.00149
14.12523	0.00141
14.14589	-0.00214
14.22856	0.00366
14.30089	0.00479
14.33189	0.00093
14.40422	0.00415
14.44555	-0.00085
14.46622	0.00302
14.52822	0.00028
14.57988	-0.00036
14.62121	-0.00423
14.71421	0.00125
14.81754	-0.00101
14.83821	0.00350
14.95187	0.00318
15.03453	0.00431
15.06553	0.00157
15.17920	-0.00117
15.23086	-0.00036
15.26186	0.00028
15.35486	0.00640
15.41685	0.00173
15.44785	0.00350
15.57185	0.00189
15.65451	-0.00359
15.68551	0.00318
15.78884	0.00495
15.86117	0.00817
15.89217	0.00350
15.99550	0.00898
16.03684	0.00737
16.05750	-0.00020
16.16083	0.00576
16.23316	0.00221
16.27449	0.00624
16.37782	0.00544
16.43982	0.00592
16.48115	0.00930
16.59482	0.00527
16.67748	0.00737
16.74981	0.00286
16.86348	0.00254
16.94614	0.00479
16.99781	0.00060
17.14247	0.00270
17.25613	0.01091
17.31813	0.00076
17.52479	0.00656
17.62812	0.00640
17.67978	0.00850
17.86578	0.00479
17.97944	0.00866
18.04144	0.01043
18.23777	0.00850
18.36176	0.01349
18.41343	0.01559
18.59942	0.01768
18.71309	0.01687
18.81642	0.02042
19.07474	0.02638
19.16774	0.02670
19.27107	0.03476
19.43640	0.03508
19.50873	0.04652
19.57073	0.04797
19.66372	0.05586
19.71539	0.05892
19.73605	0.06408
19.81872	0.07519
19.88072	0.08163
19.92205	0.08212
20.00471	0.09130
20.05638	0.10081
20.07704	0.09388
20.15971	0.10902
20.20104	0.11240
20.22171	0.12062
20.29404	0.12932
20.33537	0.13609
20.37670	0.14623
20.44903	0.17137
20.49036	0.17829
20.52136	0.18393
20.59369	0.20649
20.63503	0.22147
20.67636	0.22791
20.73836	0.25578
20.75902	0.26674
20.76935	0.27382
20.83135	0.29734
20.88302	0.31507
20.92435	0.32763
21.02768	0.36919
21.07935	0.39416
21.12068	0.41913
21.22401	0.48277
21.27567	0.52224
21.34800	0.55591
21.45133	0.64628
21.49267	0.69461
21.53400	0.74681
21.63733	0.86827
21.69933	0.92740
21.75099	0.99248
21.88532	1.15954
21.94732	1.24347
21.99898	1.31516
22.11265	1.52249
22.18498	1.63687
22.24698	1.77526
22.33997	2.02818
22.38130	2.15916
22.41230	2.28095
22.46397	2.46073
22.50530	2.55594
22.55697	2.64954
22.60863	2.80935
22.62930	2.87846
22.62930	2.93163
22.63963	3.02925
22.64996	3.07501
22.64996	3.09692
22.67063	3.15572
22.69130	3.18504
22.71196	3.21017
22.74296	3.24110
22.79463	3.29829
22.81529	3.32568
22.81529	3.32890
22.85662	3.37900
22.85662	3.39769
22.86696	3.41380
22.86696	3.41670
22.86696	3.44135
22.87729	3.45762
22.89796	3.46648
22.92895	3.47148
22.93929	3.46890
22.99095	3.48114
23.02195	3.48356
23.03228	3.48275
23.07362	3.46986
23.10462	3.46584
23.12528	3.46245
23.20795	3.43297
23.24928	3.40848
23.28028	3.38561
23.32161	3.32777
23.35261	3.27268
23.36294	3.26043
23.41461	3.18343
23.45594	3.12769
23.47660	3.09128
23.54894	3.00058
23.59027	2.91922
23.61093	2.88765
23.65227	2.77359
23.68326	2.70867
23.69360	2.66936
23.73493	2.56899
23.74526	2.49972
23.75560	2.47829
23.78659	2.37648
23.79693	2.31993
23.80726	2.28691
23.81759	2.21989
23.83826	2.16882
23.84859	2.14643
23.87959	2.07716
23.91059	2.02722
23.92092	1.99902
23.96226	1.92588
23.98292	1.87868
23.99325	1.85291
24.02425	1.78025
24.07592	1.73579
24.09658	1.70598
24.14825	1.62769
24.17925	1.56132
24.18958	1.53876
24.19991	1.45838
24.22058	1.41279
24.22058	1.39426
24.25158	1.32821
24.29291	1.28375
24.34458	1.23638
24.37558	1.21657
24.43757	1.14198
24.45824	1.08672
24.47891	1.06659
24.53057	0.99296
24.58224	0.93706
24.60290	0.90613
24.66490	0.82123
24.73723	0.76743
24.75790	0.74665
24.86123	0.64757
24.90256	0.58813
24.91289	0.56702
24.95422	0.48679
24.97489	0.44217
24.98522	0.42413
25.02656	0.37129
25.05755	0.33472
25.06789	0.32183
25.08855	0.28027
25.10922	0.26367
25.11955	0.24740
25.16089	0.22147
25.20222	0.19779
25.21255	0.20069
25.25388	0.17008
25.27455	0.15252
25.29521	0.14495
25.34688	0.12884
25.37788	0.11837
25.38821	0.11369
25.45021	0.10161
25.50187	0.09420
25.52254	0.08550
25.53287	0.06971
25.53287	0.06875
25.54321	0.06698
25.57421	0.05892
25.61554	0.05876
25.62587	0.05199
25.65687	0.05006
25.71887	0.05022
25.74987	0.05022
25.81186	0.04490
25.85320	0.04345
25.87386	0.03959
25.92553	0.04120
25.95653	0.03363
25.96686	0.04088
25.98753	0.03572
25.98753	0.03927
25.98753	0.03282
25.98753	0.03105
25.98753	0.02686
26.03919	0.03347
26.09086	0.02831
26.14252	0.03347
26.16319	0.02718
26.20452	0.03169
26.23552	0.03411
26.24585	0.02428
26.26652	0.02863
26.28718	0.02155
26.29752	0.02767
26.32852	0.02702
26.35951	0.02622
26.39051	0.02960
26.48351	0.02203
26.53518	0.02622
26.56617	0.02138
26.67984	0.02364
26.74184	0.01607
26.76250	0.02718
26.82450	0.02686
26.84517	0.02074
26.85550	0.02783
26.85550	0.02316
26.85550	0.02219
26.86583	0.02122
26.86583	0.02122
26.86583	0.02122
26.87617	0.02042
26.87617	0.01929
26.87617	0.01816
26.87617	0.01816
26.88650	0.02171
26.88650	0.01107
26.91750	0.01832
26.93816	0.01430
26.96916	0.01784
26.96916	0.02026
27.01049	0.02267
27.05183	0.01124
27.07249	0.01526
27.07249	0.02219
27.08283	0.01993
27.09316	0.01865
27.10349	0.01430
27.10349	0.02090
27.16549	0.01494
27.18616	0.01671
27.21715	0.01800
27.25849	0.01832
27.28949	0.01333
27.34115	0.01236
27.38248	0.01349
27.40315	0.01736
27.46515	0.01752
27.51681	0.01333
27.52714	0.01285
27.58914	0.01285
27.63047	0.01913
27.64081	0.00962
27.70281	0.00930
27.74414	0.01478
27.75447	0.01800
27.76480	0.01575
27.77514	0.01381
27.77514	0.01977
27.77514	0.01703
27.77514	0.01349
27.78547	0.01220
27.79580	0.00979
