Black Body Radiation Experiment Wed, Jan 24, 2024 4:15 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00874
0.00000	-0.00761
0.00000	-0.00697
0.00000	-0.00214
-0.01033	-0.00922
-0.01033	-0.00665
-0.01033	-0.00922
-0.01033	-0.01019
-0.01033	-0.00649
-0.01033	-0.00681
-0.01033	-0.00938
-0.01033	-0.00423
-0.01033	-0.00665
-0.01033	-0.00471
-0.01033	-0.00149
-0.01033	-0.00552
-0.01033	-0.00552
-0.01033	-0.00600
-0.01033	-0.00326
-0.01033	-0.00310
-0.01033	-0.00777
-0.01033	-0.00423
-0.01033	-0.00681
-0.01033	-0.00713
-0.01033	-0.00342
-0.01033	-0.00842
-0.01033	-0.00761
-0.01033	0.00060
-0.01033	-0.00262
-0.01033	-0.00632
-0.01033	-0.00487
-0.01033	-0.00391
-0.01033	-0.00487
0.00000	-0.00085
0.00000	-0.00439
0.00000	-0.00407
0.00000	-0.00971
0.00000	-0.00665
0.00000	-0.00181
0.00000	-0.00600
0.00000	-0.00471
0.00000	-0.00681
0.00000	-0.00375
0.00000	-0.00810
0.01033	-0.00761
0.01033	-0.00890
0.01033	-0.00471
0.01033	-0.00842
0.01033	-0.00649
0.02067	-0.00632
0.02067	-0.00471
0.02067	-0.00552
0.02067	-0.00504
0.03100	-0.00568
0.03100	-0.00552
0.05167	-0.00536
0.06200	-0.00181
0.11366	-0.00568
0.13433	-0.00906
0.13433	-0.00342
0.14466	-0.00423
0.14466	-0.00552
0.14466	-0.00294
0.15500	-0.00745
0.16533	-0.00906
0.20666	-0.00455
0.22733	-0.00616
0.27899	-0.00842
0.29966	-0.00584
0.29966	-0.00858
0.33066	-0.00971
0.34099	-0.00584
0.36166	-0.00761
0.38232	-0.00391
0.42365	0.00221
0.44432	-0.00938
0.46499	-0.00810
0.48565	-0.00681
0.50632	-0.00842
0.51665	-0.00777
0.55798	-0.00810
0.58898	-0.00874
0.61998	-0.00487
0.69231	-0.00504
0.74398	-0.00681
0.76464	-0.00745
0.82664	-0.00600
0.86797	-0.00810
0.88864	-0.00681
0.92997	-0.00890
0.94030	-0.00536
0.95064	-0.00326
0.99197	-0.00955
1.04363	-0.00262
1.06430	-0.00455
1.11597	-0.00536
1.15730	-0.00729
1.16763	-0.00665
1.21930	-0.00536
1.25029	-0.00504
1.26063	-0.00359
1.29163	-0.00794
1.32263	-0.00761
1.34329	-0.00842
1.39496	-0.00890
1.42596	-0.00665
1.44662	-0.00487
1.50862	-0.00455
1.57062	-0.00874
1.61195	-0.00310
1.72561	-0.00858
1.78761	-0.00423
1.79794	-0.00471
1.84961	-0.00761
1.85994	-0.00794
1.87028	-0.00584
1.92194	-0.00794
1.95294	-0.00729
1.98394	-0.00665
2.02527	-0.00471
2.04594	-0.00600
2.05627	-0.00536
2.08727	-0.00568
2.10793	-0.00616
2.10793	-0.00262
2.12860	-0.00665
2.13893	-0.00294
2.13893	-0.00455
2.14927	-0.00568
2.14927	-0.00359
2.16993	-0.00632
2.16993	-0.00713
2.21126	-0.00777
2.24226	-0.00858
2.27326	-0.00681
2.28360	-0.00649
2.33526	-0.00826
2.36626	-0.00504
2.37659	-0.00600
2.41792	-0.00487
2.44892	-0.00455
2.45926	-0.01003
2.49026	-0.00745
2.53159	-0.00745
2.54192	-0.00842
2.59359	-0.00681
2.63492	-0.00584
2.65558	-0.00504
2.69692	-0.00729
2.70725	-0.00423
2.71758	-0.00471
2.72792	-0.00117
2.76925	-0.00649
2.78991	-0.00632
2.85191	-0.00246
2.88291	-0.00681
2.90358	-0.00600
2.95524	-0.01067
2.99657	-0.00858
3.00691	-0.00568
3.09990	-0.00681
3.14124	-0.00423
3.16190	-0.00665
3.21357	-0.00906
3.24457	-0.00810
3.26523	-0.00407
3.31690	-0.00455
3.35823	-0.00713
3.36856	-0.00665
3.44089	-0.00632
3.50289	-0.00713
3.54422	-0.00616
3.64755	-0.00681
3.69922	-0.00794
3.71988	-0.00439
3.80255	-0.00858
3.85421	-0.00616
3.87488	-0.00681
3.94721	-0.00600
3.98854	-0.00326
4.00921	-0.00520
4.02987	-0.00584
4.06087	-0.00262
4.08154	-0.01003
4.13320	-0.00697
4.15387	-0.00536
4.16420	-0.00584
4.19520	-0.00681
4.21587	-0.00455
4.22620	-0.00810
4.26753	-0.00278
4.29853	-0.00455
4.31920	-0.00471
4.37086	-0.00616
4.42253	-0.00938
4.44320	-0.00584
4.53619	-0.00600
4.59819	-0.00294
4.61886	-0.00616
4.67052	-0.00504
4.72219	-0.00375
4.74285	-0.00439
4.80485	-0.00842
4.84618	-0.00632
4.86685	-0.00391
4.98051	-0.00906
5.04251	-0.00713
5.06318	-0.00423
5.10451	-0.00938
5.11484	-0.00310
5.12517	-0.00874
5.13551	-0.00359
5.15617	-0.00568
5.16651	-0.00407
5.23884	-0.00584
5.26984	-0.00632
5.28017	-0.00230
5.32150	-0.00842
5.34217	-0.00310
5.35250	-0.00520
5.39383	-0.00761
5.41450	-0.00487
5.41450	-0.00181
5.42483	-0.00665
5.42483	-0.00504
5.42483	-0.00713
5.44550	-0.00359
5.50750	-0.00616
5.56949	-0.00085
5.60049	-0.00552
5.68316	-0.00487
5.72449	-0.00294
5.73482	-0.00584
5.75549	-0.00874
5.79682	-0.00423
5.82782	-0.00665
5.95182	-0.00214
6.03448	-0.00471
6.08614	-0.00471
6.24114	-0.00294
6.28247	-0.00375
6.30314	-0.00729
6.31347	-0.00745
6.31347	-0.00713
6.31347	-0.00520
6.37547	-0.00600
6.40647	-0.00697
6.40647	-0.00568
6.40647	-0.00359
6.41680	-0.00649
6.42713	-0.00745
6.45813	-0.00133
6.47880	-0.00391
6.48913	-0.00971
6.58213	-0.00536
6.73712	-0.00745
6.81979	-0.00455
7.08845	-0.01019
7.23311	-0.00600
7.30544	-0.00262
7.51210	-0.00761
7.69809	-0.00487
7.77043	-0.00359
8.09075	-0.00810
8.29741	-0.00777
8.40074	-0.00600
8.66940	-0.00568
8.81406	-0.00568
8.89672	-0.00439
9.10338	-0.00294
9.23771	-0.00794
9.29971	-0.00181
9.49604	-0.00520
9.56837	-0.00729
9.62003	-0.00777
9.68203	-0.00632
9.71303	-0.00810
9.73370	-0.00906
9.83703	-0.00520
9.94036	-0.00649
10.00236	-0.01309
10.15735	-0.00745
10.28135	-0.00439
10.39501	-0.00584
10.55001	-0.00681
10.67400	-0.00504
10.71533	-0.00632
10.84966	-0.00520
10.92199	-0.00906
10.96333	-0.00487
11.09766	-0.00826
11.16999	-0.00181
11.21132	-0.00568
11.34565	-0.00632
11.44898	-0.00536
11.50064	-0.00794
11.58331	-0.00745
11.64530	-0.00359
11.67630	-0.00826
11.74864	-0.00842
11.82097	-0.00826
11.85197	-0.00697
11.95530	-0.00938
12.06896	-0.00455
12.11029	-0.00632
12.24462	-0.00552
12.37895	-0.00439
12.38928	-0.00471
12.52361	-0.00874
12.60628	-0.00455
12.62694	-0.00471
12.75094	-0.00729
12.85427	-0.00552
12.88527	-0.00632
13.04026	-0.00681
13.13326	-0.00310
13.18492	-0.00375
13.35025	-0.00230
13.44325	-0.00745
13.48458	-0.00810
13.63958	-0.00423
13.74291	-0.00165
13.79457	-0.00455
13.92890	-0.00616
14.01156	-0.00971
14.06323	-0.00584
14.19756	-0.00520
14.31122	-0.00423
14.35255	-0.00616
14.53855	-0.00568
14.66254	-0.00761
14.71421	-0.00230
14.90020	-0.00520
15.01387	-0.00181
15.05520	-0.00777
15.19986	-0.00906
15.26186	-0.00165
15.30319	-0.00423
15.36519	-0.00036
15.39619	-0.00294
15.41685	-0.00794
15.45819	-0.00294
15.48919	-0.00020
15.49952	-0.00697
15.58218	-0.00181
15.65451	-0.00117
15.69585	-0.00214
15.79918	-0.00552
15.87151	-0.00600
15.91284	-0.00391
15.99550	-0.00246
16.04717	-0.00310
16.06783	-0.00536
16.11950	-0.00407
16.16083	-0.00117
16.19183	-0.00375
16.26416	-0.00713
16.32616	-0.00133
16.35716	-0.00359
16.46049	-0.00230
16.54315	-0.00342
16.58448	-0.00536
16.73948	-0.00326
16.83248	-0.00165
16.88414	-0.00294
16.96681	-0.00342
17.01847	-0.00278
17.03914	-0.00407
17.11147	-0.00117
17.17347	-0.00052
17.20447	-0.00294
17.30780	-0.00407
17.36979	-0.00052
17.40079	-0.00359
17.50412	-0.00326
17.57645	-0.00455
17.62812	-0.00036
17.75212	0.00173
17.86578	0.00044
17.89678	-0.00052
18.01044	0.00028
18.09310	0.00431
18.15510	0.00109
18.34110	0.00093
18.45476	0.00012
18.50643	0.00383
18.66142	0.00205
18.75442	0.00527
