Black Body Radiation Experiment Wed, Jan 24, 2024 4:17 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00294
0.00000	-0.00197
0.00000	-0.00568
0.00000	-0.00777
0.00000	-0.00552
0.00000	-0.00214
0.00000	-0.00407
0.00000	-0.00536
0.00000	-0.00197
0.00000	-0.00439
0.00000	-0.00504
0.00000	-0.00536
0.00000	-0.00471
0.00000	-0.00649
0.00000	-0.01003
0.00000	-0.00504
0.00000	-0.00729
0.00000	-0.00649
0.00000	-0.00278
0.00000	-0.00230
0.00000	-0.00471
0.00000	-0.00439
0.00000	-0.00665
0.00000	-0.00149
0.00000	-0.00810
0.00000	-0.00842
0.00000	-0.00359
0.00000	-0.00455
0.00000	-0.00020
0.00000	-0.00713
0.00000	-0.00810
0.00000	-0.00326
0.00000	-0.00278
0.00000	-0.00165
0.00000	-0.00729
0.00000	-0.00310
0.00000	-0.00262
0.00000	-0.00181
0.00000	-0.00326
0.00000	-0.00649
0.00000	-0.00842
0.00000	-0.00359
0.00000	-0.00536
0.00000	-0.00455
0.00000	-0.00342
0.00000	-0.00278
0.00000	-0.00568
0.00000	-0.00439
0.00000	-0.00230
0.00000	-0.00536
0.00000	-0.00278
0.00000	-0.00439
0.00000	-0.00713
0.00000	-0.00310
0.00000	-0.00423
0.00000	-0.00568
0.00000	-0.00069
0.00000	-0.00294
0.00000	-0.00294
0.00000	-0.00649
0.00000	-0.00471
0.00000	-0.00713
0.00000	-0.00616
0.00000	-0.00649
0.00000	-0.00326
0.00000	-0.00455
0.00000	-0.00568
0.00000	-0.00632
0.00000	-0.00359
0.00000	-0.00407
0.00000	-0.00616
0.00000	-0.00246
0.00000	-0.00665
0.00000	-0.00391
0.00000	-0.00520
0.00000	-0.00504
0.00000	-0.00632
0.00000	-0.00632
0.00000	-0.00649
0.00000	-0.00681
0.00000	-0.00326
0.00000	-0.00117
0.00000	-0.00616
0.00000	-0.00262
0.00000	-0.00632
0.00000	-0.00375
0.00000	-0.00568
0.00000	-0.00278
0.00000	-0.00987
0.00000	-0.00810
0.00000	-0.00697
0.00000	-0.00439
0.00000	-0.00085
0.00000	-0.00342
0.00000	-0.00471
0.01033	-0.00745
0.01033	-0.00858
0.01033	-0.00101
0.01033	-0.00761
0.01033	-0.00584
0.01033	-0.00342
0.01033	-0.00359
0.01033	-0.00777
0.01033	-0.00310
0.01033	-0.00616
0.01033	-0.00278
0.01033	-0.00745
0.01033	-0.00439
0.01033	-0.00568
0.01033	-0.00310
0.01033	-0.00504
0.01033	-0.00423
0.01033	-0.00133
0.01033	0.00318
0.01033	-0.00487
0.01033	-0.00632
0.01033	-0.00487
0.03100	-0.00294
0.09300	-0.00342
0.14466	-0.00632
0.17566	-0.00487
0.21699	-0.00584
0.23766	-0.00616
0.24799	-0.00794
0.28932	-0.00423
0.30999	-0.00310
0.32032	-0.00439
0.37199	-0.00310
0.41332	-0.00906
0.43399	-0.00230
0.49598	-0.00439
0.52698	-0.00504
0.53732	-0.00471
0.57865	-0.00359
0.60965	-0.00439
0.63031	-0.00777
0.70264	-0.00600
