Sensor_Position	Light_Intensity
0.00000	-0.04547
0.00000	-0.04612
0.00000	-0.04467
0.00000	-0.04225
0.00000	-0.04370
0.00000	-0.04547
0.00000	-0.04370
0.00000	-0.04885
0.00000	-0.04499
0.00000	-0.04628
0.00000	-0.03935
0.00000	-0.04547
-0.01033	-0.03935
-0.01033	-0.04644
-0.01033	-0.04257
-0.01033	-0.04193
-0.01033	-0.04241
-0.01033	-0.03887
-0.01033	-0.04515
-0.01033	-0.04660
-0.01033	-0.04644
-0.01033	-0.04096
-0.01033	-0.04418
-0.01033	-0.04209
-0.01033	-0.04193
-0.01033	-0.04450
-0.01033	-0.04015
-0.01033	-0.04338
-0.01033	-0.04144
-0.01033	-0.04612
-0.01033	-0.04579
-0.01033	-0.04354
-0.01033	-0.03919
-0.01033	-0.04305
-0.01033	-0.03967
-0.01033	-0.04628
-0.01033	-0.04225
-0.01033	-0.04708
-0.01033	-0.04273
-0.01033	-0.04241
-0.01033	-0.04177
-0.01033	-0.04257
-0.01033	-0.04273
-0.01033	-0.04112
-0.01033	-0.04080
-0.01033	-0.04096
-0.01033	-0.04386
-0.01033	-0.04483
-0.01033	-0.04112
-0.01033	-0.04531
-0.01033	-0.04644
-0.01033	-0.04531
-0.01033	-0.03935
-0.01033	-0.04257
-0.01033	-0.04531
0.00000	-0.04740
0.00000	-0.04450
0.00000	-0.04305
0.00000	-0.04177
0.00000	-0.04467
0.00000	-0.04112
0.00000	-0.04048
0.00000	-0.04225
0.00000	-0.04225
0.00000	-0.04160
0.00000	-0.04257
0.00000	-0.04499
0.00000	-0.04402
0.00000	-0.04257
0.00000	-0.04338
0.00000	-0.04048
0.00000	-0.04128
0.00000	-0.04322
0.00000	-0.04225
0.00000	-0.04064
0.00000	-0.04225
0.00000	-0.04257
0.00000	-0.04112
0.00000	-0.04225
0.00000	-0.04225
0.00000	-0.04015
0.00000	-0.04450
0.00000	-0.04386
0.00000	-0.04773
0.00000	-0.04934
0.00000	-0.04112
0.00000	-0.04048
0.00000	-0.04289
0.00000	-0.04370
0.00000	-0.03919
0.01033	-0.04676
0.02067	-0.04483
0.04133	-0.04434
0.06200	-0.04756
0.14466	-0.04273
0.21699	-0.04241
0.26866	-0.04322
0.39265	-0.05095
0.46499	-0.04740
0.53732	-0.04563
0.71298	-0.05272
0.81631	-0.04241
0.85764	-0.04628
1.04363	-0.04193
1.11597	-0.04241
1.14696	-0.04386
1.19863	-0.04628
1.22963	-0.04644
1.25029	-0.04257
1.30196	-0.04370
1.35362	-0.04080
1.37429	-0.04676
1.43629	-0.04515
1.48795	-0.04612
1.50862	-0.04209
1.61195	-0.04015
1.71528	-0.04966
1.75661	-0.04225
1.93227	-0.04644
2.08727	-0.04467
2.18027	-0.04193
2.36626	-0.04144
2.51092	-0.04112
2.58325	-0.04499
2.81058	-0.04434
2.95524	-0.04483
3.03791	-0.03903
3.32723	-0.04370
3.52356	-0.04483
3.57522	-0.03725
3.87488	-0.04128
4.08154	-0.04644
4.23654	-0.04386
4.48453	-0.04901
4.64986	-0.04595
4.71185	-0.04080
5.01151	-0.04708
5.25950	-0.04547
5.31117	-0.03854
5.66249	-0.04756
5.91048	-0.05240
6.01381	-0.03919
6.41680	-0.03951
6.62346	-0.04209
6.73712	-0.04064
7.07811	-0.04499
7.27444	-0.04467
7.41910	-0.04402
7.70843	-0.03645
7.90475	-0.04628
8.02875	-0.04515
8.42141	-0.03790
8.61773	-0.04338
8.73140	-0.04015
9.03105	-0.04064
9.23771	-0.04853
9.35138	-0.03854
9.70270	-0.04418
9.95069	-0.03854
10.06435	-0.04547
10.27101	-0.03967
10.44668	-0.03903
10.51901	-0.04160
10.75667	-0.04096
10.93233	-0.03838
11.00466	-0.04160
11.21132	-0.04676
11.35598	-0.03887
11.44898	-0.04531
11.65564	-0.03725
11.78997	-0.03774
11.84163	-0.04128
12.03796	-0.04612
12.20329	-0.03645
12.24462	-0.03999
12.44095	-0.03613
12.58561	-0.03629
12.63727	-0.03935
12.83360	-0.04225
12.98860	-0.03661
13.04026	-0.04048
13.24692	-0.04177
13.40192	-0.04386
13.46392	-0.03838
13.72224	-0.03307
13.85657	-0.03580
13.95990	-0.03307
14.39389	-0.04160
14.64188	-0.03307
14.73488	-0.03838
14.95187	-0.03822
15.23086	-0.04193
15.36519	-0.03838
15.68551	-0.03629
15.91284	-0.03629
16.02650	-0.03742
16.33649	-0.03452
16.57415	-0.03339
16.68781	-0.03709
16.98747	-0.03387
17.18380	-0.03162
17.26646	-0.02823
17.64879	-0.02485
17.83478	-0.02872
18.00011	-0.02533
18.31010	-0.01905
18.50643	-0.02243
18.63042	-0.01583
19.09541	-0.00922
19.43640	0.00205
19.69472	0.01059
20.21137	0.04909
20.43870	0.07310
20.65569	0.11917
21.13101	0.24305
21.30667	0.33939
21.47200	0.44523
21.90599	0.85104
22.08165	1.07480
22.22631	1.35189
22.53630	1.88609
22.75329	2.23342
22.95995	2.50810
23.36294	2.81145
23.59027	2.83094
23.79693	2.75957
24.29291	2.36327
24.60290	2.09472
24.72690	1.98436
25.15055	1.56422
25.45021	1.32128
25.58454	1.20900
26.01853	0.93014
26.32852	0.78483
26.48351	0.72216
26.96916	0.55655
27.25849	0.46521
27.41348	0.43412
27.80614	0.32940
28.14713	0.28558
28.25046	0.25562
28.66378	0.19360
28.94277	0.16412
29.08743	0.15429
29.49042	0.11450
29.71774	0.09581
29.84174	0.08631
30.22406	0.06440
30.47205	0.04716
30.59605	0.04152
30.95770	0.03250
31.27803	0.02509
31.40202	0.02445
31.79468	0.00995
32.10467	0.00511
32.25966	0.00415
32.73498	0.00221
33.05531	-0.00568
33.23097	-0.00987
33.69595	-0.00777
34.03694	-0.01180
34.20227	-0.01212
34.73959	-0.01390
35.09091	-0.01551
35.24591	-0.01502
35.80389	-0.01647
36.12421	-0.02324
36.27921	-0.02002
36.75452	-0.02179
37.07485	-0.02372
37.27118	-0.02195
37.71549	-0.02533
37.89116	-0.02211
38.10815	-0.02437
38.59380	-0.02533
38.90379	-0.02082
39.13112	-0.02630
39.62710	-0.02388
39.95776	-0.02549
40.12309	-0.02614
40.49508	-0.02856
40.76373	-0.02566
40.88773	-0.02920
41.28038	-0.02469
41.54904	-0.02743
41.68337	-0.02872
42.09669	-0.02163
42.38602	-0.02630
42.56168	-0.02453
42.99566	-0.02936
43.32632	-0.02372
43.49165	-0.02662
43.97730	-0.02388
44.33896	-0.02404
44.45262	-0.02775
44.87627	-0.02453
45.25859	-0.02630
45.36192	-0.02292
45.81658	-0.02469
46.15757	-0.02630
46.28156	-0.02968
46.72588	-0.02356
47.03587	-0.03033
47.19087	-0.02453
47.66619	-0.02501
48.02784	-0.02807
48.18284	-0.02598
48.69949	-0.02308
49.04048	-0.02839
49.22647	-0.02888
49.80512	-0.03001
50.27010	-0.02759
50.45610	-0.02984
51.07608	-0.02259
51.49973	-0.02646
51.67539	-0.02437
52.34704	-0.03065
52.82236	-0.02453
53.07035	-0.02936
53.73166	-0.02598
