Sensor_Position	Light_Intensity
0.00000	-0.00487
0.00000	-0.00455
0.00000	0.00076
0.00000	-0.00004
0.00000	-0.00149
0.00000	-0.00439
0.00000	-0.00568
0.00000	-0.00600
0.00000	0.00157
0.00000	0.00141
0.01033	0.00012
0.01033	0.00431
0.02067	-0.00197
0.02067	0.00350
0.02067	0.00076
0.02067	0.00366
0.02067	-0.00278
0.02067	0.00093
0.02067	-0.00069
0.02067	-0.00326
0.02067	-0.00455
0.02067	-0.00504
0.02067	-0.00697
0.02067	-0.00600
0.02067	-0.00504
0.02067	-0.00842
0.02067	-0.01631
0.02067	-0.01309
0.02067	-0.01663
0.02067	-0.01438
0.02067	-0.01116
0.02067	-0.01583
0.02067	-0.01712
0.02067	-0.01937
0.02067	-0.02115
0.02067	-0.01583
0.02067	-0.02179
0.02067	-0.02098
0.02067	-0.02421
0.02067	-0.02598
0.02067	-0.02404
0.02067	-0.02469
0.02067	-0.02050
0.02067	-0.02936
0.02067	-0.03146
0.02067	-0.02598
0.02067	-0.02646
0.02067	-0.02566
0.02067	-0.02324
0.02067	-0.02759
0.02067	-0.03210
0.02067	-0.03484
0.02067	-0.03419
0.02067	-0.02662
0.02067	-0.02904
0.02067	-0.02743
0.02067	-0.02759
0.02067	-0.03178
0.02067	-0.03500
0.02067	-0.03129
0.02067	-0.02904
0.02067	-0.03049
0.02067	-0.02727
0.02067	-0.03291
0.02067	-0.02872
0.02067	-0.03291
0.02067	-0.03113
0.02067	-0.02807
0.02067	-0.02872
0.02067	-0.03178
0.02067	-0.02630
0.02067	-0.03355
0.01033	-0.03597
0.01033	-0.03307
0.01033	-0.03226
0.01033	-0.02856
0.01033	-0.03033
0.01033	-0.03355
0.01033	-0.03113
0.02067	-0.03371
0.02067	-0.03210
0.02067	-0.03242
0.02067	-0.03081
0.04133	-0.03242
0.11366	-0.03516
0.21699	-0.02791
0.30999	-0.03049
0.36166	-0.03081
0.54765	-0.03516
0.68198	-0.02936
0.75431	-0.02920
0.96097	-0.02904
1.12630	-0.02936
1.19863	-0.03129
1.38462	-0.03097
1.51895	-0.03307
1.58095	-0.02807
1.83928	-0.03371
2.02527	-0.02662
2.10793	-0.02872
2.33526	-0.02098
2.50059	-0.02775
2.56259	-0.02743
2.86224	-0.03323
3.05857	-0.03371
3.13090	-0.03323
3.44089	-0.03226
3.67855	-0.03323
3.77155	-0.03355
4.09187	-0.02839
4.27787	-0.03113
4.41220	-0.02872
4.67052	-0.02807
