Sensor_Position	Light_Intensity
0.00000	0.03137
0.00000	0.03314
0.00000	0.02686
0.00000	0.03057
0.00000	0.03314
0.00000	0.02944
0.00000	0.02831
0.00000	0.02847
0.00000	0.02944
0.00000	0.03057
0.00000	0.02767
0.00000	0.02767
0.00000	0.03218
0.00000	0.02573
0.00000	0.02847
0.00000	0.03234
0.00000	0.02880
0.00000	0.03137
0.00000	0.03041
0.00000	0.03057
0.00000	0.03041
0.00000	0.03073
0.00000	0.03331
0.00000	0.02847
0.00000	0.03250
0.00000	0.03331
0.00000	0.03314
0.00000	0.02815
0.00000	0.03057
0.00000	0.02880
0.00000	0.02718
0.00000	0.02751
0.00000	0.02477
0.00000	0.02718
0.00000	0.02767
0.00000	0.03234
0.00000	0.03524
0.00000	0.02896
0.00000	0.03250
0.00000	0.03041
0.00000	0.02880
0.00000	0.03282
0.00000	0.03024
0.00000	0.02992
0.00000	0.02944
0.00000	0.03266
0.00000	0.03121
0.00000	0.02960
0.00000	0.03105
0.00000	0.03024
0.00000	0.03250
0.00000	0.03282
0.00000	0.02976
0.00000	0.03057
0.00000	0.03041
0.00000	0.02654
0.00000	0.03202
0.00000	0.02944
0.00000	0.03427
0.00000	0.03008
0.00000	0.02783
0.00000	0.03443
0.00000	0.03347
0.00000	0.02735
0.00000	0.03041
0.00000	0.03266
0.00000	0.03008
0.00000	0.02896
0.00000	0.02799
0.00000	0.03508
0.00000	0.02751
0.00000	0.03250
0.00000	0.02396
0.00000	0.03057
0.00000	0.03282
0.00000	0.02799
0.00000	0.02831
0.00000	0.03153
0.00000	0.02751
0.00000	0.03121
0.00000	0.03331
0.00000	0.03234
0.00000	0.02799
0.00000	0.02831
0.00000	0.03395
0.00000	0.03008
0.00000	0.03137
0.00000	0.02912
0.00000	0.03024
0.00000	0.02815
0.00000	0.03266
0.01033	0.02992
0.01033	0.03153
0.01033	0.02735
0.03100	0.03089
0.09300	0.02863
0.18599	0.03008
0.23766	0.02686
0.38232	0.03153
0.47532	0.03282
0.52698	0.02912
0.65098	0.03121
0.74398	0.02880
0.78531	0.03089
0.91964	0.03105
0.99197	0.02493
1.03330	0.02928
1.15730	0.02751
1.18830	0.02976
1.19863	0.03169
1.23996	0.02976
1.27096	0.03331
1.29163	0.02912
1.34329	0.03427
1.37429	0.03234
1.40529	0.02831
1.48795	0.03314
1.53962	0.02880
1.57062	0.03411
1.68428	0.02541
1.75661	0.03202
1.80828	0.03363
1.95294	0.02525
2.03560	0.03314
2.11827	0.02928
2.23193	0.03153
2.32493	0.03202
2.36626	0.02992
2.49026	0.03202
2.60392	0.03331
2.65558	0.03024
2.80025	0.03621
2.90358	0.03218
2.97591	0.02557
3.22390	0.03347
3.40989	0.02847
3.51322	0.03105
3.73022	0.03186
3.93688	0.03057
4.05054	0.03186
4.30887	0.02573
4.49486	0.02944
4.51553	0.03347
4.73252	0.03395
4.89785	0.03089
4.97018	0.03041
5.18717	0.02928
5.39383	0.03105
5.49716	0.02928
5.81749	0.02912
5.98281	0.03041
6.09648	0.02944
6.36514	0.03234
6.57180	0.02783
6.65446	0.02815
6.93345	0.03395
7.10911	0.03089
7.17111	0.03508
7.39844	0.02976
7.58443	0.02654
7.65676	0.02944
7.93575	0.03008
8.11141	0.02928
8.20441	0.02815
8.44207	0.03089
8.61773	0.03733
8.72106	0.03282
9.08272	0.03057
9.26871	0.03234
9.38238	0.03186
9.68203	0.03073
9.87836	0.03653
9.98169	0.03041
10.31235	0.03266
10.49834	0.02686
10.61200	0.03556
10.81866	0.03202
10.99433	0.03234
11.06666	0.02944
11.32498	0.03588
11.53164	0.03331
11.62464	0.03234
